"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"3563","ttdiesti",27,"santander",934,"sucre",2006,27.1
"3564","igrtgfec",18,"la guajira",NA,NA,2006,NA
"3565","ttdiesti",12,"cesar",449,"bosconia",2006,20.63
"3566","ttdiesti",2,"antioquia",94,"sabaneta",2006,11.42
"3567","pcrparin",24,"quindio",837,"salento",2006,97.18
"3568","ttdiesti",14,"cundinamarca",528,"guasca",2006,18.02
"3569","pbepredg",13,"choco",NA,NA,2006,NA
"3570","igrtgfec",6,"boyaca",NA,NA,2006,NA
"3571","ttdiesti",19,"magdalena",680,"santa ana",2006,21.29
"3572","igrtgfec",19,"magdalena",NA,NA,2006,NA
"3573","pcrparin",22,"norte de santander",787,"el zulia",2006,92.26
"3574","pcrparin",2,"antioquia",20,"arboletes",2006,86.28
"3575","pcrrncpn",7,"cordoba",NA,NA,2006,80.22
"3576","pcrparin",29,"tolima",992,"murillo",2006,98.75
"3577","pcrparin",11,"cauca",414,"caloto",2006,92.1
"3578","pcrrncpn",14,"cundinamarca",NA,NA,2006,85.87
"3579","ttdiesti",19,"magdalena",NA,"cerro san antonio",2006,25.1
"3580","ttdiesti",2,"antioquia",44,"concepcion",2006,15.75
"3581","caelacex",10,"casanare",NA,NA,2006,NA
"3582","rtrmorpu",26,"san andres y providencia",NA,NA,2006,108.46
"3583","ttdnesti",15,"guainia",NA,NA,2006,NA
"3584","pcrparin",14,"cundinamarca",512,"cucunuba",2006,98.62
"3585","ttdiesti",17,"huila",651,"villavieja",2006,24.32
"3586","pcrparin",11,"cauca",432,"puerto tejada",2006,99.5
"3587","pcrparin",13,"choco",489,"unguia",2006,99.14
"3588","caelacex",27,"santander",NA,NA,2006,NA
"3589","ttdnesti",24,"quindio",NA,NA,2006,20.35863652
"3590","pcrparin",21,"narino",714,"ancuya",2006,68.93
"3591","pbepredc",27,"santander",NA,NA,2006,NA
"3592","ttdiesti",6,"boyaca",257,"nuevo colon",2006,20.22
"3593","pcrparin",22,"norte de santander",780,"chinacota",2006,100
"3594","ttdiesti",2,"antioquia",82,"necocli",2006,38.26
"3595","pcrparin",27,"santander",895,"guavata",2006,94.44
"3596","pcrparin",11,"cauca",418,"guapi",2006,90.48
"3597","pcrparin",13,"choco",NA,"rio quito",2006,58.82
"3598","pcrparin",20,"meta",704,"restrepo",2006,90.82
"3599","pcrparin",14,"cundinamarca",572,"silvania",2006,98.53
"3600","pcrparin",6,"boyaca",294,"sogamoso",2006,99.57
"3601","ttdiesti",6,"boyaca",299,"susacon",2006,25.74
"3602","ttdiesti",13,"choco",NA,"medio atrato",2006,48.46
"3603","ttdiesti",27,"santander",888,"gambita",2006,27.1
"3604","ttdiesti",2,"antioquia",15,"angelopolis",2006,13.86
